TimeStamp,FLC,Coarse,1LB,2LB,3LB,1Bj,2Bj,Total
27-11-2020 15:42:38,33.9,66.1,7.14,25.0,3.57,0.0,7.14,28
27-11-2020 15:52:54,33.9,66.1,7.14,25.0,3.57,0.0,7.14,28
27-11-2020 15:58:24,33.9,66.1,7.14,25.0,3.57,0.0,7.14,28
29-11-2020 16:03:54,18.8,81.2,0.0,0.0,37.5,0.0,0.0,8
29-11-2020 17:31:54,33.9,66.1,5.75,13.79,28.74,0.0,0.0,87
29-11-2020 18:02:46,23.8,76.2,5.74,9.84,16.39,0.0,0.0,122
30-11-2020 15:16:18,33.9,66.1,7.14,25.0,3.57,0.0,7.14,28
30-11-2020 15:37:04,5.3,94.7,0.0,0.0,10.53,0.0,0.0,19
30-11-2020 15:42:24,24.2,75.8,9.68,9.68,9.68,0.0,0.0,31
30-11-2020 16:12:47,100.0,0.0,100.0,0.0,0.0,0.0,0.0,1
30-11-2020 16:33:49,35.0,65.0,10.0,12.0,24.0,1.0,0.0,100
30-11-2020 16:56:41,18.8,81.2,4.85,6.06,15.76,0.0,1.21,165
30-11-2020 17:27:51,22.4,77.6,7.69,11.89,5.59,0.0,0.7,143
30-11-2020 18:03:23,21.7,78.3,8.7,6.52,13.04,0.0,0.0,92
30-11-2020 18:15:24,20.7,79.3,3.26,10.87,13.04,0.0,0.0,92
30-11-2020 18:35:12,22.3,77.7,7.81,9.38,10.16,0.0,0.78,128
30-11-2020 17:53:07,17.8,82.2,4.96,5.79,12.4,0.83,0.83,121
30-11-2020 18:39:56,23.7,76.3,6.19,7.22,20.62,0.0,4.12,97
30-11-2020 18:57:54,22.1,77.9,4.9,9.8,14.71,0.0,1.96,102
07-12-2020 16:16:23,26.5,73.5,2.56,13.68,20.51,0.0,0.0,117
08-12-2020 12:54:49,41.1,58.9,8.93,19.64,21.43,1.79,1.79,56
08-12-2020 18:02:07,23.8,76.2,8.51,8.51,12.06,0.71,0.0,141
08-12-2020 18:36:41,30.3,69.7,5.81,14.84,19.35,0.0,1.29,155
08-12-2020 18:49:57,22.5,77.5,3.37,11.24,13.48,1.12,0.0,89
08-12-2020 19:28:48,24.1,75.9,6.12,10.88,14.29,0.0,0.68,147
09-12-2020 13:39:10,28.6,71.4,8.79,10.99,17.58,0.0,1.1,91
12-12-2020 12:08:47,26.3,73.7,8.6,9.68,16.13,0.0,1.08,93
